campaign_name,platform,spend,impressions,clicks,conversions,revenue,audience,creative_format
Summer Skincare Launch,Meta,85000,2650000,84800,342,365100,Lookalike 2%,Video
Monsoon Haircare,Meta,62000,2952380,62000,198,173600,Interest Based,Image
Google Brand Search,Google,45000,535714,45000,289,274550,Keyword,Text
YouTube Awareness,Google,38000,4750000,38000,67,53200,Interest,Video
Amazon Sponsored Products,Amazon,29000,557692,29000,156,113100,Keyword,Image
Retargeting Cart Abandoners,Meta,18500,385416,18500,201,133200,Custom - Cart,Image
Broad Awareness Campaign,Meta,55000,5000000,55000,43,49500,Broad,Video
Lookalike 2 Percent,Meta,41000,1413793,41000,178,143500,Lookalike 2%,Carousel
Competitor Keywords,Google,33000,523809,33000,112,72600,Keyword,Text
Zepto Listing Ads,Amazon,22000,309859,22000,134,105600,Keyword,Image
